warID,warName,warDescription,startDate,endDate,prevWarID,nextWarID
Q782474,Chadian Civil War of 1965–79,,1965-01-01,1979-01-01,,
Q68718107,Moba Wars,wars in Zaire,1984-11-01,1987-01-01,,
Q1122110,Civil war in Tajikistan,civil war,1992-05-05,1997-06-27,,
Q243620,Somali Civil War,civil war taking place in Somalia since 1991,1991-01-26,,,
Q795269,Sierra Leone Civil War,civil war between Commonwealth-backed government and rebel factions,1991-03-23,2002-01-18,,
Q208484,Lebanese Civil War,civil war,1975-04-14,1990-10-13,,
Q1087909,Second Ivorian Civil War,,2010-11-28,2011-04-11,,
Q1021175,First Ivorian Civil War,civil war,2002-09-19,2007-03-04,,
Q142529,Algerian Civil War,In 1991-2002 civil war in Algeria,1991-12-26,2002-02-08,,
Q521199,North Yemen Civil War,,1962-09-26,1970-01-01,,
Q426722,Rwandan Civil War,1990-1994 civil conflict in Rwanda,1990-10-01,1993-08-04,,
Q55600802,1964 Ethiopian-Somali Border War,,1964-02-01,1964-04-01,,
Q1915188,Suriname Guerrilla War,1986-1992 civil war in Suriname,1986-01-01,1992-01-01,,
Q1781457,Bissau-Guinean Civil War,1998-1999 civil war in Guinea-Bissau,1998-06-07,1999-05-10,,
Q1021172,Republic of the Congo Civil War,civil war,1997-01-01,1999-01-01,,
Q1960733,Second Liberian Civil War,1999-2003 civil war in Liberia,1999-04-21,2003-08-18,,
Q657661,Mozambican Civil War,civil war,1977-05-30,1992-10-04,,
Q188972,Greek Civil War,1946-1949 civil war in Greece,1946-03-30,1949-10-16,,
Q1122422,Paraguayan Civil War of 1947,1947 civil war in Paraguay,1947-03-07,1947-08-20,,
Q945700,Chad-Sudan Conflict  (2005–2010),conflict,2005-12-18,2010-01-15,,
Q1477500,First Liberian Civil War,1989–1996 civil war in Liberia,1989-12-24,1997-08-02,,
Q1052332,War in Somalia (2009–),"present phase of the Somali Civil War, which is concentrated in southern Somalia",2009-01-31,,Q1072042,
Q1154912,Iraqi Kurdish Civil War,,1994-05-01,1997-11-24,,
Q1980081,Civil war in Afghanistan (1992–96),,1992-04-30,1996-09-27,Q2405009,Q12302518
Q66474138,War in Catatumbo,,2018-01-01,,,
Q1070890,Georgian Civil War,war,1991-12-22,1993-12-31,,
Q163883,Ten-Day War,civil war in Yugoslavia following the Slovenian declaration of independence on 25 June 1991,1991-06-27,1991-07-07,,
Q17984356,Iraqi Civil War (2014–2017),Armed conflict in the Middle East,2014-01-01,2017-12-09,,
Q42410540,First Uganda War,Civil War for Local Issue in 1966,1966-01-01,1966-01-01,,
Q16335075,War in Donbass,armed conflict in the Donbass region of Ukraine,2014-04-06,,,
Q17324420,2014 Israel–Gaza conflict,War fought between the Israel Defense Forces and the Hamas-governed Gaza Strip during 2014,2014-07-08,2014-08-26,,
Q2002270,Mozambican War of Independence,,1964-09-25,1974-09-08,,
Q15059994,Iran–Israel proxy conflict,ongoing indirect conflict between Iran and Israel,2005-08-03,,,
Q11942758,Ethiopian-Somali border conflict,,1960-01-01,1964-01-01,,
Q12302518,Afghan Civil War,1996-2001 military conflict in Afghanistan,1996-09-27,2001-10-07,Q1980081,Q182865
Q2354629,Malayan Emergency,guerrilla war from 1948 to 1960,1948-06-16,1960-07-12,,Q3446062
Q42410550,First Chad (FROLINAT) Rebellion,Civil War for Local Issue between 1966 to 1971,1966-01-01,1971-01-01,,
Q19686631,Yemeni Civil War (2015–present),conflict in Yemen,2015-03-19,,,
Q607257,Eritrean War of Independence,armed conflict in Ethiopia between 1961 and 1991,1961-09-01,1991-05-29,,
Q16151540,Eelam War IV,the fourth and final phase of the Sri Lankan civil war,2006-07-26,2009-05-18,,
Q42410722,Third Rwanda War,Civil War for Capital between 1997 to 1998,1997-01-01,1998-01-01,,
Q23403028,Hīt offensive,ongoing offensive in the town of Hīt,2016-03-12,2016-04-14,,
Q42410678,Second Cambodia Civil,Civil War for Capital between 1993 to 1997,1993-01-01,1997-01-01,,
Q152060,Cabinda Conflict,,1975-11-08,,,
Q17272643,spillover of the Syrian Civil War,impact of the Syrian Civil War in the Arab world,2011-01-01,,,
