participant,participantLabel,participantDescription,countryCode,inception,dissolved,government,governmentLabel,participantID,govtID
http://www.wikidata.org/entity/Q884,South Korea,sovereign state in East Asia,KOR,1948-08-15T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q884,Q7270
http://www.wikidata.org/entity/Q967,Burundi,sovereign state in Africa,BDI,1962-07-01T00:00:00Z,,,,Q967,
http://www.wikidata.org/entity/Q884,South Korea,sovereign state in East Asia,KOR,1948-08-15T00:00:00Z,,http://www.wikidata.org/entity/Q49892,presidential system,Q884,Q49892
http://www.wikidata.org/entity/Q1032,Niger,sovereign state in Western Africa,NER,1960-01-01T00:00:00Z,,,,Q1032,
http://www.wikidata.org/entity/Q869,Thailand,sovereign state in Southeast Asia,THA,1238-01-01T00:00:00Z,,,,Q869,
http://www.wikidata.org/entity/Q854,Sri Lanka,"sovereign state in South Asia, situated on an island in the Indian Ocean",LKA,1972-05-22T00:00:00Z,,,,Q854,
http://www.wikidata.org/entity/Q869,Thailand,sovereign state in Southeast Asia,THA,1768-12-28T00:00:00Z,,,,Q869,
http://www.wikidata.org/entity/Q916,Angola,sovereign state in Africa,AGO,,,,,Q916,
http://www.wikidata.org/entity/Q794,Iran,sovereign state in Western Asia,IRN,1979-04-01T00:00:00Z,,http://www.wikidata.org/entity/Q672729,Islamic republic,Q794,Q672729
http://www.wikidata.org/entity/Q858,Syria,sovereign state in Western Asia,SYR,1920-03-08T00:00:00Z,,http://www.wikidata.org/entity/Q49890,semi-presidential system,Q858,Q49890
http://www.wikidata.org/entity/Q813,Kyrgyzstan,sovereign state in Central Asia,KGZ,1991-01-01T00:00:00Z,,,,Q813,
http://www.wikidata.org/entity/Q863,Tajikistan,sovereign state in Central Asia,TJK,1991-09-09T00:00:00Z,,,,Q863,
http://www.wikidata.org/entity/Q1016,Libya,sovereign state in north Africa,LBY,1951-12-24T00:00:00Z,,,,Q1016,
http://www.wikidata.org/entity/Q858,Syria,sovereign state in Western Asia,SYR,1920-03-08T00:00:00Z,,http://www.wikidata.org/entity/Q179164,unitary state,Q858,Q179164
http://www.wikidata.org/entity/Q971,Republic of the Congo,sovereign state in Central Africa,COG,1960-01-01T00:00:00Z,,,,Q971,
http://www.wikidata.org/entity/Q858,Syria,sovereign state in Western Asia,SYR,1920-03-08T00:00:00Z,,http://www.wikidata.org/entity/Q4198907,parliamentary republic,Q858,Q4198907
http://www.wikidata.org/entity/Q1030,Namibia,sovereign state in southern Africa,NAM,1990-01-01T00:00:00Z,,,,Q1030,
http://www.wikidata.org/entity/Q928,Philippines,"sovereign state in Southeast Asia, situated on an archipelago of over 7,600 islands in the western Pacific Ocean",PHL,1565-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q7270,republic,Q928,Q7270
http://www.wikidata.org/entity/Q1028,Morocco,sovereign state in North Africa,MAR,1956-04-07T00:00:00Z,,http://www.wikidata.org/entity/Q7269,monarchy,Q1028,Q7269
http://www.wikidata.org/entity/Q801,Israel,sovereign state in Western Asia,ISR,1948-05-14T00:00:00Z,,http://www.wikidata.org/entity/Q4198907,parliamentary republic,Q801,Q4198907
