event,eventLabel,eventDescription,startDate,endDate,location,casualties,prevWar,nextWar,largerConflict,largerConflictLabel,largerConflictDescription,warID,locationID,prevWarID,nextWarID,largerConflictID
http://www.wikidata.org/entity/Q120843,Second Chechen War,war,1999-08-26T00:00:00Z,2009-04-15T00:00:00Z,http://www.wikidata.org/entity/Q5187,,,,http://www.wikidata.org/entity/Q14947002,Chechen–Russian conflict,centuries-long conflict,Q120843,Q5187,,,Q14947002
http://www.wikidata.org/entity/Q8663,Korean War,1950–1953 war between North Korea and South Korea,1950-06-25T00:00:00Z,1953-07-27T00:00:00Z,http://www.wikidata.org/entity/Q483134,,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q8663,Q483134,,,Q8683
http://www.wikidata.org/entity/Q842380,Second Sudanese Civil War,civil war,1983-06-05T00:00:00Z,2005-01-09T00:00:00Z,http://www.wikidata.org/entity/Q882739,,,,,,,Q842380,Q882739,,,
http://www.wikidata.org/entity/Q213394,Sri Lankan Civil War,armed conflict in Sri Lanka (1983–2009) between the government and the separatist organization Liberation Tigers of Tamil Eelam,1983-07-23T00:00:00Z,2009-05-18T00:00:00Z,http://www.wikidata.org/entity/Q854,100000,,,,,,Q213394,Q854,,,
http://www.wikidata.org/entity/Q817206,Cambodian Civil War,civil war in Cambodia between 1970 and 1975,1967-03-11T00:00:00Z,1975-04-17T00:00:00Z,http://www.wikidata.org/entity/Q2638486,,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q817206,Q2638486,,,Q8683
http://www.wikidata.org/entity/Q817206,Cambodian Civil War,civil war in Cambodia between 1970 and 1975,1967-03-11T00:00:00Z,1975-04-17T00:00:00Z,http://www.wikidata.org/entity/Q1054184,,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q817206,Q1054184,,,Q8683
http://www.wikidata.org/entity/Q647239,Burundi Civil War,civil war in Burundi between 1993-2005,1993-10-21T00:00:00Z,2005-05-15T00:00:00Z,http://www.wikidata.org/entity/Q967,,,,,,,Q647239,Q967,,,
http://www.wikidata.org/entity/Q1477500,First Liberian Civil War,1989–1996 civil war in Liberia,1989-12-24T00:00:00Z,1997-08-02T00:00:00Z,http://www.wikidata.org/entity/Q1014,,,,http://www.wikidata.org/entity/Q1185186,Liberian Civil War,Wikimedia disambiguation page,Q1477500,Q1014,,,Q1185186
http://www.wikidata.org/entity/Q188972,Greek Civil War,1946-1949 civil war in Greece,1946-03-30T00:00:00Z,1949-10-16T00:00:00Z,http://www.wikidata.org/entity/Q41,,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q188972,Q41,,,Q8683
http://www.wikidata.org/entity/Q829875,Nigerian Civil War,violent conflict within Nigeria,2000-06-01T00:00:00Z,1974-01-15T00:00:00Z,http://www.wikidata.org/entity/Q1033,,,,,,,Q829875,Q1033,,,
http://www.wikidata.org/entity/Q142529,Algerian Civil War,In 1991-2002 civil war in Algeria,1991-12-26T00:00:00Z,2002-02-08T00:00:00Z,http://www.wikidata.org/entity/Q262,,,,http://www.wikidata.org/entity/Q185729,War on Terror,international military campaign that started after 11 September 2001,Q142529,Q262,,,Q185729
http://www.wikidata.org/entity/Q817206,Cambodian Civil War,civil war in Cambodia between 1970 and 1975,1967-03-11T00:00:00Z,1975-04-17T00:00:00Z,http://www.wikidata.org/entity/Q2638486,,,,http://www.wikidata.org/entity/Q8740,Vietnam War,"1964–1975 armed conflict in Vietnam, Laos, and Cambodia between North Vietnam and South Vietnam",Q817206,Q2638486,,,Q8740
http://www.wikidata.org/entity/Q1276892,South Yemen Civil War,,1986-01-13T00:00:00Z,1986-01-24T00:00:00Z,http://www.wikidata.org/entity/Q199841,,,,,,,Q1276892,Q199841,,,
http://www.wikidata.org/entity/Q66474138,War in Catatumbo,,2018-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1948210,,,,http://www.wikidata.org/entity/Q169072,Colombian conflict,"low-intensity asymmetric war, beginning in 1964, between Colombian governments, paramilitary groups, crime syndicates and far-left guerrillas (FARC, ELN, etc.)",Q66474138,Q1948210,,,Q169072
http://www.wikidata.org/entity/Q817206,Cambodian Civil War,civil war in Cambodia between 1970 and 1975,1967-03-11T00:00:00Z,1975-04-17T00:00:00Z,http://www.wikidata.org/entity/Q1054184,,,,http://www.wikidata.org/entity/Q8740,Vietnam War,"1964–1975 armed conflict in Vietnam, Laos, and Cambodia between North Vietnam and South Vietnam",Q817206,Q1054184,,,Q8740
http://www.wikidata.org/entity/Q852088,Internal conflict in Myanmar,series of ongoing insurgencies within Myanmar,1948-04-02T00:00:00Z,,http://www.wikidata.org/entity/Q836,,,,,,,Q852088,Q836,,,
http://www.wikidata.org/entity/Q54448834,Gunnut Operation,Azerbaijan Army Operation Sharur District Gained Some Hill And Gunnut Village,2018-05-20T00:00:00Z,2018-05-27T00:00:00Z,http://www.wikidata.org/entity/Q2523428,,,,http://www.wikidata.org/entity/Q16954835,Nagorno-Karabakh conflict,ethnic conflict between the Republic of Armenia and Azerbaijan,Q54448834,Q2523428,,,Q16954835
http://www.wikidata.org/entity/Q1154912,Iraqi Kurdish Civil War,,1994-05-01T00:00:00Z,1997-11-24T00:00:00Z,http://www.wikidata.org/entity/Q205047,,,,http://www.wikidata.org/entity/Q6068230,Iraqi–Kurdish conflict,wars and rebellions by Iraqi Kurds against the government,Q1154912,Q205047,,,Q6068230
http://www.wikidata.org/entity/Q66474138,War in Catatumbo,,2018-01-01T00:00:00Z,,http://www.wikidata.org/entity/Q1948210,,,,http://www.wikidata.org/entity/Q185517,war on drugs,concept,Q66474138,Q1948210,,,Q185517
http://www.wikidata.org/entity/Q163883,Ten-Day War,civil war in Yugoslavia following the Slovenian declaration of independence on 25 June 1991,1991-06-27T00:00:00Z,1991-07-07T00:00:00Z,http://www.wikidata.org/entity/Q215,,,,http://www.wikidata.org/entity/Q242352,Yugoslav Wars,ethnic conflicts fought from 1991 to 2001 on the territory of former Yugoslavia,Q163883,Q215,,,Q242352
http://www.wikidata.org/entity/Q185407,La Violencia,civil war in Colombia between 1946 and 1958,1949-12-06T00:00:00Z,1958-01-01T00:00:00Z,http://www.wikidata.org/entity/Q739,200000,,,,,,Q185407,Q739,,,
http://www.wikidata.org/entity/Q945700,Chad-Sudan Conflict  (2005–2010),conflict,2005-12-18T00:00:00Z,2010-01-15T00:00:00Z,http://www.wikidata.org/entity/Q657,,,,,,,Q945700,Q657,,,
http://www.wikidata.org/entity/Q782474,Chadian Civil War of 1965–79,,1965-01-01T00:00:00Z,1979-01-01T00:00:00Z,http://www.wikidata.org/entity/Q657,,,,,,,Q782474,Q657,,,
http://www.wikidata.org/entity/Q68718107,Moba Wars,wars in Zaire,1984-11-01T00:00:00Z,1987-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1986207,,,,,,,Q68718107,Q1986207,,,
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,,1962-09-26T00:00:00Z,1970-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1998401,,,,http://www.wikidata.org/entity/Q4783165,Arab Cold War,series of conflicts in the Arab world between the new republics led by Gamal Abdel Nasser of Egypt and the more traditionalist kingdoms led by King Faisal of Saudi Arabia,Q521199,Q1998401,,,Q4783165
http://www.wikidata.org/entity/Q1122110,Civil war in Tajikistan,civil war,1992-05-05T00:00:00Z,1997-06-27T00:00:00Z,http://www.wikidata.org/entity/Q863,,,,,,,Q1122110,Q863,,,
http://www.wikidata.org/entity/Q209965,Casamance conflict,ongoing low-level conflict between the Government of Senegal and the Movement of Democratic Forces of Casamance since 1982,1982-01-01T00:00:00Z,2014-05-01T00:00:00Z,http://www.wikidata.org/entity/Q1041,5000,,,,,,Q209965,Q1041,,,
http://www.wikidata.org/entity/Q795269,Sierra Leone Civil War,civil war between Commonwealth-backed government and rebel factions,1991-03-23T00:00:00Z,2002-01-18T00:00:00Z,http://www.wikidata.org/entity/Q1044,,,,,,,Q795269,Q1044,,,
http://www.wikidata.org/entity/Q208484,Lebanese Civil War,civil war,1975-04-14T00:00:00Z,1990-10-13T00:00:00Z,http://www.wikidata.org/entity/Q822,,,,,,,Q208484,Q822,,,
http://www.wikidata.org/entity/Q81545,2011 Libyan Civil War,2011 armed conflict in the North African country of Libya,2011-02-15T00:00:00Z,2011-10-23T00:00:00Z,http://www.wikidata.org/entity/Q1016,,,,http://www.wikidata.org/entity/Q33761,Arab Spring,protests and revolutions in the Arab world,Q81545,Q1016,,,Q33761
http://www.wikidata.org/entity/Q1087909,Second Ivorian Civil War,,2010-11-28T00:00:00Z,2011-04-11T00:00:00Z,http://www.wikidata.org/entity/Q1008,,,,,,,Q1087909,Q1008,,,
http://www.wikidata.org/entity/Q1052332,War in Somalia (2009–),"present phase of the Somali Civil War, which is concentrated in southern Somalia",2009-01-31T00:00:00Z,,http://www.wikidata.org/entity/Q1045,,http://www.wikidata.org/entity/Q1072042,,http://www.wikidata.org/entity/Q243620,Somali Civil War,civil war taking place in Somalia since 1991,Q1052332,Q1045,Q1072042,,Q243620
http://www.wikidata.org/entity/Q877450,Laotian Civil War,1959–1975 civil war in Laos,1953-11-09T00:00:00Z,1975-12-02T00:00:00Z,http://www.wikidata.org/entity/Q870055,,,,http://www.wikidata.org/entity/Q8683,Cold War,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,Q877450,Q870055,,,Q8683
