event,eventLabel,participant,participantLabel,warID,participantID
http://www.wikidata.org/entity/Q181533,Bosnian War,http://www.wikidata.org/entity/Q211853,Republic of Serbian Krajina,Q181533,Q211853
http://www.wikidata.org/entity/Q4116897,Second Kurdish–Iraqi War,http://www.wikidata.org/entity/Q3108185,Ba'athist Iraq,Q4116897,Q3108185
http://www.wikidata.org/entity/Q181533,Bosnian War,http://www.wikidata.org/entity/Q1274468,Republic of Bosnia and Herzegovina,Q181533,Q1274468
http://www.wikidata.org/entity/Q3151731,Dirty War,http://www.wikidata.org/entity/Q2048646,Party of the Poor,Q3151731,Q2048646
http://www.wikidata.org/entity/Q182865,War in Afghanistan,http://www.wikidata.org/entity/Q690419,Tehreek-e-Nafaz-e-Shariat-e-Mohammadi,Q182865,Q690419
http://www.wikidata.org/entity/Q959303,War in Abkhazia (1998),http://www.wikidata.org/entity/Q23334,Abkhazia,Q959303,Q23334
http://www.wikidata.org/entity/Q182865,War in Afghanistan,http://www.wikidata.org/entity/Q1674170,Turkistan Islamic Party,Q182865,Q1674170
http://www.wikidata.org/entity/Q6022577,Indian intervention in the Sri Lankan Civil War,http://www.wikidata.org/entity/Q80312,Liberation Tigers of Tamil Eelam,Q6022577,Q80312
http://www.wikidata.org/entity/Q3151731,Dirty War,http://www.wikidata.org/entity/Q2031202,Liga Comunista 23 de Septiembre,Q3151731,Q2031202
http://www.wikidata.org/entity/Q1361929,Indonesia–Malaysia confrontation,http://www.wikidata.org/entity/Q833,Malaysia,Q1361929,Q833
http://www.wikidata.org/entity/Q6022577,Indian intervention in the Sri Lankan Civil War,http://www.wikidata.org/entity/Q3358912,Indian Peace Keeping Force,Q6022577,Q3358912
http://www.wikidata.org/entity/Q1413732,Kashmir conflict,http://www.wikidata.org/entity/Q2722920,All Parties Hurriyat Conference,Q1413732,Q2722920
http://www.wikidata.org/entity/Q1209169,War in Abkhazia,http://www.wikidata.org/entity/Q230,Georgia,Q1209169,Q230
http://www.wikidata.org/entity/Q1209169,War in Abkhazia,http://www.wikidata.org/entity/Q159,Russia,Q1209169,Q159
http://www.wikidata.org/entity/Q1361929,Indonesia–Malaysia confrontation,http://www.wikidata.org/entity/Q252,Indonesia,Q1361929,Q252
http://www.wikidata.org/entity/Q182865,War in Afghanistan,http://www.wikidata.org/entity/Q427941,Islamic Emirate of Afghanistan,Q182865,Q427941
http://www.wikidata.org/entity/Q181533,Bosnian War,http://www.wikidata.org/entity/Q224,Croatia,Q181533,Q224
http://www.wikidata.org/entity/Q1143379,1991–1992 South Ossetia War,http://www.wikidata.org/entity/Q5237,Republic of North Ossetia-Alania,Q1143379,Q5237
http://www.wikidata.org/entity/Q1262084,Djiboutian Civil War,http://www.wikidata.org/entity/Q977,Djibouti,Q1262084,Q977
http://www.wikidata.org/entity/Q182865,War in Afghanistan,http://www.wikidata.org/entity/Q3076828,055 Brigade,Q182865,Q3076828
http://www.wikidata.org/entity/Q1072042,War in Somalia (2006-2009),http://www.wikidata.org/entity/Q485112,Puntland,Q1072042,Q485112
http://www.wikidata.org/entity/Q4072719,Afghanistan–Pakistan skirmishes,http://www.wikidata.org/entity/Q889,Afghanistan,Q4072719,Q889
http://www.wikidata.org/entity/Q163883,Ten-Day War,http://www.wikidata.org/entity/Q266026,Igor Bavčar,Q163883,Q266026
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q851,Saudi Arabia,Q521199,Q851
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q42013,Anwar Sadat,Q521199,Q42013
http://www.wikidata.org/entity/Q81545,2011 Libyan Civil War,,,Q81545,
http://www.wikidata.org/entity/Q657661,Mozambican Civil War,,,Q657661,
http://www.wikidata.org/entity/Q852088,Internal conflict in Myanmar,,,Q852088,
http://www.wikidata.org/entity/Q178810,Syrian Civil War,http://www.wikidata.org/entity/Q1334803,Walid Muallem,Q178810,Q1334803
http://www.wikidata.org/entity/Q178810,Syrian Civil War,http://www.wikidata.org/entity/Q82403,Burhan Ghalioun,Q178810,Q82403
http://www.wikidata.org/entity/Q142529,Algerian Civil War,,,Q142529,
http://www.wikidata.org/entity/Q178810,Syrian Civil War,http://www.wikidata.org/entity/Q456977,Dawoud Rajiha,Q178810,Q456977
http://www.wikidata.org/entity/Q178810,Syrian Civil War,http://www.wikidata.org/entity/Q82400,Ali Sadreddine Al-Bayanouni,Q178810,Q82400
http://www.wikidata.org/entity/Q243620,Somali Civil War,,,Q243620,
http://www.wikidata.org/entity/Q647239,Burundi Civil War,,,Q647239,
http://www.wikidata.org/entity/Q782474,Chadian Civil War of 1965–79,,,Q782474,
http://www.wikidata.org/entity/Q795269,Sierra Leone Civil War,,,Q795269,
http://www.wikidata.org/entity/Q178810,Syrian Civil War,http://www.wikidata.org/entity/Q714040,Riad al-Asaad,Q178810,Q714040
http://www.wikidata.org/entity/Q178810,Syrian Civil War,http://www.wikidata.org/entity/Q369251,Ali Habib Mahmud,Q178810,Q369251
http://www.wikidata.org/entity/Q163883,Ten-Day War,http://www.wikidata.org/entity/Q215,Slovenia,Q163883,Q215
http://www.wikidata.org/entity/Q829875,Nigerian Civil War,,,Q829875,
http://www.wikidata.org/entity/Q817206,Cambodian Civil War,http://www.wikidata.org/entity/Q30,United States of America,Q817206,Q30
http://www.wikidata.org/entity/Q209965,Casamance conflict,http://www.wikidata.org/entity/Q1041,Senegal,Q209965,Q1041
http://www.wikidata.org/entity/Q178810,Syrian Civil War,http://www.wikidata.org/entity/Q7409537,Samir Nashar,Q178810,Q7409537
http://www.wikidata.org/entity/Q257724,Ethiopian Civil War,,,Q257724,
http://www.wikidata.org/entity/Q426722,Rwandan Civil War,,,Q426722,
http://www.wikidata.org/entity/Q178810,Syrian Civil War,http://www.wikidata.org/entity/Q447173,Maher al-Assad,Q178810,Q447173
http://www.wikidata.org/entity/Q163883,Ten-Day War,http://www.wikidata.org/entity/Q57627,Janez Janša,Q163883,Q57627
http://www.wikidata.org/entity/Q213394,Sri Lankan Civil War,http://www.wikidata.org/entity/Q854,Sri Lanka,Q213394,Q854
http://www.wikidata.org/entity/Q842380,Second Sudanese Civil War,http://www.wikidata.org/entity/Q1278182,Eastern Front,Q842380,Q1278182
http://www.wikidata.org/entity/Q178810,Syrian Civil War,http://www.wikidata.org/entity/Q82398,Haitham al-Maleh,Q178810,Q82398
http://www.wikidata.org/entity/Q178810,Syrian Civil War,http://www.wikidata.org/entity/Q548228,Assef Shawkat,Q178810,Q548228
http://www.wikidata.org/entity/Q842380,Second Sudanese Civil War,http://www.wikidata.org/entity/Q6500954,Zaire,Q842380,Q6500954
http://www.wikidata.org/entity/Q178810,Syrian Civil War,http://www.wikidata.org/entity/Q403421,Mashaal Tammo,Q178810,Q403421
http://www.wikidata.org/entity/Q842380,Second Sudanese Civil War,http://www.wikidata.org/entity/Q7568575,South Sudan Defence Forces,Q842380,Q7568575
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q317752,Abdullah as-Sallal,Q521199,Q317752
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q1994260,Salah Nasr,Q521199,Q1994260
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q170468,United Arab Republic,Q521199,Q170468
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q6854149,Q6854149,Q521199,Q6854149
http://www.wikidata.org/entity/Q185407,La Violencia,http://www.wikidata.org/entity/Q747333,Colombian Conservative Party,Q185407,Q747333
http://www.wikidata.org/entity/Q185407,La Violencia,http://www.wikidata.org/entity/Q939021,Colombian Liberal Party,Q185407,Q939021
http://www.wikidata.org/entity/Q208484,Lebanese Civil War,http://www.wikidata.org/entity/Q913025,Lebanese National Movement,Q208484,Q913025
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q146906,Hussein of Jordan,Q521199,Q146906
http://www.wikidata.org/entity/Q842380,Second Sudanese Civil War,http://www.wikidata.org/entity/Q4778218,Anyanya II,Q842380,Q4778218
http://www.wikidata.org/entity/Q208484,Lebanese Civil War,http://www.wikidata.org/entity/Q160805,United Nations Interim Force in Lebanon,Q208484,Q160805
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q12228141,Q12228141,Q521199,Q12228141
http://www.wikidata.org/entity/Q842380,Second Sudanese Civil War,http://www.wikidata.org/entity/Q912908,Sudan People's Liberation Army,Q842380,Q912908
http://www.wikidata.org/entity/Q185407,La Violencia,http://www.wikidata.org/entity/Q5589197,Government of Colombia,Q185407,Q5589197
http://www.wikidata.org/entity/Q842380,Second Sudanese Civil War,http://www.wikidata.org/entity/Q7068422,Nuer White Army,Q842380,Q7068422
http://www.wikidata.org/entity/Q842380,Second Sudanese Civil War,http://www.wikidata.org/entity/Q3373953,South Sudan Liberation Movement,Q842380,Q3373953
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q16119447,Q16119447,Q521199,Q16119447
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q16126787,Q16126787,Q521199,Q16126787
http://www.wikidata.org/entity/Q188972,Greek Civil War,http://www.wikidata.org/entity/Q209065,Kingdom of Greece,Q188972,Q209065
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q580188,Mutawakkilite Kingdom of Yemen,Q521199,Q580188
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q711230,Muhammad al-Badr,Q521199,Q711230
http://www.wikidata.org/entity/Q208484,Lebanese Civil War,http://www.wikidata.org/entity/Q452670,Amal Movement,Q208484,Q452670
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q12222671,Abdul Rahman al-Baidhani,Q521199,Q12222671
http://www.wikidata.org/entity/Q842380,Second Sudanese Civil War,http://www.wikidata.org/entity/Q7392592,SPLA-Nasir,Q842380,Q7392592
http://www.wikidata.org/entity/Q208484,Lebanese Civil War,http://www.wikidata.org/entity/Q4794304,Army of Free Lebanon,Q208484,Q4794304
http://www.wikidata.org/entity/Q521199,North Yemen Civil War,http://www.wikidata.org/entity/Q12223130,Abdul Ghani Motahar,Q521199,Q12223130
http://www.wikidata.org/entity/Q208484,Lebanese Civil War,http://www.wikidata.org/entity/Q2293745,Arab Deterrent Force,Q208484,Q2293745
