warID,warName,startDate,endDate,warDescription,prevWarID,nextWarID
Q107802,2003 invasion of Iraq,2003-03-20T00:00:00Z,2003-05-01T00:00:00Z,military invasion led by the United States,,
Q15059994,Iran–Israel proxy conflict,2005-08-03T00:00:00Z,,ongoing indirect conflict between Iran and Israel,,
Q2946372,Northern Mali conflict,2012-01-16T00:00:00Z,2015-02-20T00:00:00Z,armed conflicts that started from January 2012,,
Q10360270,Bougainville Civil War,1988-12-01T00:00:00Z,1998-04-20T00:00:00Z,Armed conflict in the North Solomons,,
Q42410622,Dniestrian Independence War,1991-01-01T00:00:00Z,1992-01-01T00:00:00Z,Civil War for Local Issue between 1991 to 1992,,
Q10292592,War in Ingushetia,2007-07-21T00:00:00Z,2015-05-19T00:00:00Z,,,
Q3119017,Ugandan Bush War,1981-02-06T00:00:00Z,1986-01-25T00:00:00Z,"guerrilla war waged between 1981 and 1986 in Uganda by the National Resistance Army (NRA) under the leadership of Yoweri Museveni against the government of Milton Obote, and later that of Tito Okello",,
Q2634899,Q2634899,1989-01-01T00:00:00Z,2001-01-01T00:00:00Z,,,
Q8683,Cold War,1947-01-01T00:00:00Z,1991-01-01T00:00:00Z,state of geopolitical tension after World War II between powers in the Eastern Bloc and the Western Bloc,,
Q1780216,Angolan War of Independence,1961-02-04T00:00:00Z,1974-04-25T00:00:00Z,conflict in Angola between 1961 and 1975,,Q12055176
Q12302518,Afghan Civil War,1996-09-27T00:00:00Z,2001-10-07T00:00:00Z,1996-2001 military conflict in Afghanistan,Q1980081,Q182865
Q2583734,Indonesian invasion of East Timor,1975-12-07T00:00:00Z,1979-03-26T00:00:00Z,military invasion,,
Q3434218,Costa Rican Civil War,1948-03-12T00:00:00Z,1948-04-24T00:00:00Z,"conflict in Costa Rica (12 March – 24 April 1948), precipitated by the vote of the Legislature to annul the results of the presidential elections held in February, causing a rebel army under commander José Figueres to overthrow the government",,
Q48941560,Chechen Civil War,1993-06-04T00:00:00Z,1994-12-11T00:00:00Z,,,
Q21647838,German intervention against ISIL,2015-12-01T00:00:00Z,,,,
Q42410520,First Rwanda War,1963-01-01T00:00:00Z,1964-01-01T00:00:00Z,Civil War for Capital between 1963 to 1964,,
Q1773984,Batalla del pan dulce,1950-10-06T00:00:00Z,1950-10-19T00:00:00Z,Batalla entre pacistas y ateos,,
Q42306428,First Burundi War,1972-01-01T00:00:00Z,1972-01-01T00:00:00Z,Civil War for capital in 1972,,
Q42306431,Second Guatemala War,1970-01-01T00:00:00Z,1971-01-01T00:00:00Z,Civil War for Capital between 1970 and 1971,,
Q42410655,Second Liberia War,1992-01-01T00:00:00Z,1995-01-01T00:00:00Z,Civil War for Capital between 1992 to 1995,,
Q2002270,Mozambican War of Independence,1964-09-25T00:00:00Z,1974-09-08T00:00:00Z,,,
